Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Casualty_class,Sex_of_casualty,Cause_of_accident
06:46:00,Wednesday,31-50,Male,Writing & reading,Employee,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Female,No distancing
06:46:00,Wednesday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,Going straight,na,na,Overspeed
17:00:00,Tuesday,Unknown,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect, Church areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,No distancing
17:00:00,Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Long lorry,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,Driving carelessly
22:00:00,Wednesday,Unknown,Female,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Unknown,No defect,Other,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,,2,Going straight,na,na,No distancing
22:00:00,Wednesday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with pedestrians,2,Getting off,Pedestrian,Male,No distancing
21:30:00,Thursday,Unknown,Female,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,Male,No distancing
21:30:00,Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,2-5yrs,,Other,One way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,Changing lane to the right
19:27:00,Monday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,Turnover,na,na,No distancing
19:27:00,Monday,31-50,Male,Junior high school,Owner,5-10yr,Other,Governmental,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with pedestrians,2,Moving Backward,Driver or rider,Male,No priority to vehicle
10:55:00,Thursday,Unknown,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Driver or rider,Male,Changing lane to the left
10:55:00,Thursday,18-30,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,,2,Moving Backward,Driver or rider,Male,Moving Backward
07:15:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,Driving carelessly
07:15:00,Wednesday,Unknown,Female,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,,2,,na,na,Changing lane to the left
08:11:00,Tuesday,18-30,Male,High school,Employee,Above 10yr,Automobile,Owner,1-2yr,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,,1,Going straight,na,na,No priority to pedestrian
06:44:00,Tuesday,31-50,Male,High school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,,1,,Driver or rider,Female,No distancing
08:29:00,Monday,Over 51,Male,Junior high school,Employee,5-10yr,,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Pedestrian,Male,No distancing
08:10:00,Monday,31-50,Male,Elementary school,Employee,1-2yr,,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,,Pedestrian,Male,Overturning
08:10:00,Monday,31-50,Male,Elementary school,Employee,5-10yr,Pick up upto 10Q,Owner,Above 10yr,,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,na,na,No distancing
09:20:00,Tuesday,Unknown,Male,Junior high school,Employee,5-10yr,Turbo,Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Driver or rider,Male,Drunk driving
09:20:00,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Female,Moving Backward
09:20:00,Tuesday,18-30,Male,Junior high school,Owner,5-10yr,Other,Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,na,na,No priority to pedestrian
09:20:00,Tuesday,18-30,Male,High school,Owner,Above 10yr,Stationwagen,,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,na,na,Changing lane to the left
09:20:00,Tuesday,18-30,Male,,Owner,Below 1yr,Pick up upto 10Q,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Other,Driver or rider,Male,Changing lane to the left
19:38:00,Saturday,Unknown,Female,Writing & reading,Owner,5-10yr,Lorry (41?100Q),Governmental,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,1,Other,Pedestrian,Female,Getting off the vehicle improperly
22:20:00,Tuesday,18-30,Male,Above high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,Going straight,na,na,No distancing
22:20:00,Tuesday,Over 51,Male,High school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,Male,Changing lane to the right
13:15:00,Sunday,Unknown,Female,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Getting off,Passenger,Male,Changing lane to the right
13:15:00,Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Collision with pedestrians,2,Going straight,Driver or rider,Male,Moving Backward
08:50:00,Wednesday,31-50,Male,Junior high school,Owner,Above 10yr,Pick up upto 10Q,Governmental,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Pedestrian,Male,Driving at high speed
16:10:00,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,Male,Changing lane to the left
16:10:00,Friday,18-30,Male,Junior high school,Employee,No Licence,Public (12 seats),Owner,5-10yrs,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,na,na,Changing lane to the right
16:10:00,Friday,Unknown,Male,Junior high school,Employee,1-2yr,Other,Owner,2-5yrs,No defect,Other,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,No distancing
16:10:00,Friday,Unknown,Male,Illiterate,Owner,1-2yr,Stationwagen,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,Getting off,na,na,Changing lane to the right
11:42:00,Monday,Over 51,Male,Junior high school,Owner,Below 1yr,Automobile,Organization,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Cloudy,Vehicle with vehicle collision,1,Going straight,Driver or rider,Male,Changing lane to the right
16:21:00,Thursday,Under 18,Male,Junior high school,Owner,1-2yr,Automobile,Governmental,1-2yr,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,3,Going straight,Pedestrian,Male,No distancing
16:21:00,Thursday,31-50,Male,Junior high school,Owner,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,3,Other,na,na,Changing lane to the right
16:21:00,Thursday,Under 18,Male,Unknown,Owner,5-10yr,Stationwagen,Owner,2-5yrs,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Rollover,3,Going straight,Driver or rider,Female,Driving carelessly
19:15:00,Thursday,18-30,Male,Unknown,Owner,Above 10yr,Lorry (41?100Q),Owner,Unknown,7,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,Driving carelessly
19:15:00,Thursday,18-30,Male,Junior high school,Owner,2-5yr,Public (> 45 seats),Governmental,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with pedestrians,2,Going straight,Pedestrian,Female,Changing lane to the right
14:15:00,Saturday,Unknown,Female,Elementary school,Owner,Above 10yr,Automobile,,,,,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,1,Going straight,Passenger,Female,Overturning
02:30:00,Saturday,Unknown,Male,Writing & reading,Owner,5-10yr,Automobile,Organization,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Snow,Darkness - lights lit,Snow,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,Changing lane to the right
02:30:00,Saturday,Unknown,Male,,Owner,,Automobile,Owner,Above 10yr,,Other,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Snow,Darkness - lights lit,Snow,Collision with pedestrians,2,Reversing,na,na,Moving Backward
08:35:00,Tuesday,Unknown,Female,Junior high school,Owner,5-10yr,,Owner,Unknown,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,Other,Driver or rider,Male,No distancing
08:35:00,Tuesday,31-50,Male,Junior high school,Owner,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,Male,Overturning
07:40:00,Thursday,Unknown,Male,Junior high school,Owner,2-5yr,Lorry (41?100Q),Owner,Above 10yr,No defect, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,Going straight,Pedestrian,Male,Driving carelessly
07:40:00,Thursday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,Going straight,Pedestrian,Male,Changing lane to the right
22:23:00,Saturday,31-50,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,Going straight,na,na,Driving at high speed
22:23:00,Saturday,Unknown,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,Going straight,Driver or rider,Female,Changing lane to the left
22:23:00,Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,4,Going straight,na,na,Driving carelessly
22:23:00,Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,Going straight,Driver or rider,Male,No distancing
08:05:00,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Going straight,Driver or rider,Male,Moving Backward
08:05:00,Wednesday,18-30,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,5-10yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,Going straight,Passenger,Male,No priority to pedestrian
18:30:00,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,5-10yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Snow,Darkness - lights lit,Snow,Vehicle with vehicle collision,1,Moving Backward,Passenger,Female,Moving Backward
15:43:00,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Moving Backward,na,na,Changing lane to the right
16:17:00,Monday,18-30,Male,Elementary school,Owner,,Lorry (41?100Q),Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Turnover,na,na,No distancing
08:47:00,Thursday,Over 51,Male,Junior high school,Owner,5-10yr,,Governmental,Below 1yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,Other,Driver or rider,Male,Drunk driving
11:30:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,,,Other,Two-way (divided with broken lines road marking),,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Other,Driver or rider,Male,Changing lane to the right
11:30:00,Friday,31-50,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,na,na,Driving carelessly
11:30:00,Friday,Unknown,Male,,,,,Owner,Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,Female,Driving to the left
12:43:00,Saturday,31-50,Male,Junior high school,Employee,5-10yr,,Owner,2-5yrs,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Other,na,na,Changing lane to the right
12:43:00,Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Other,Driver or rider,Male,Changing lane to the right
12:57:00,Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,na,na,Driving carelessly
10:30:00,Wednesday,Unknown,Male,High school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Reversing,Driver or rider,Female,Changing lane to the left
08:35:00,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Other,Driver or rider,Male,No priority to vehicle
08:35:00,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Other,Owner,Above 10yr,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,Turnover,na,na,Driving carelessly
07:36:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Passenger,Female,Changing lane to the right
00:28:00,Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,Driver or rider,Male,Driving carelessly
22:30:00,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,na,na,Driving under the influence of drugs
22:30:00,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Driver or rider,Female,No distancing
17:20:00,Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,Going straight,na,na,Changing lane to the left
17:20:00,Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,na,na,No priority to vehicle
14:04:00,Wednesday,Unknown,Female,Junior high school,Employee,2-5yr,Public (13?45 seats),Organization,Above 10yr,No defect, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Going straight,Pedestrian,Male,Moving Backward
12:44:00,Monday,31-50,Male,Elementary school,Employee,Below 1yr,Public (13?45 seats),Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,Going straight,Pedestrian,Male,Moving Backward
12:44:00,Monday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,Going straight,na,na,No distancing
18:40:00,Friday,Unknown,Male,Junior high school,Employee,,Lorry (41?100Q),Owner,Above 10yr,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,Other,Driver or rider,Male,Changing lane to the right
18:40:00,Friday,31-50,Male,,Employee,5-10yr,Public (12 seats),Owner,Unknown,,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,Male,Changing lane to the right
22:23:00,Sunday,Unknown,Male,Writing & reading,Employee,Below 1yr,Other,,2-5yrs,, Hospital areas,One way,,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,Going straight,na,na,Moving Backward
08:41:00,Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,Moving Backward,Driver or rider,Female,Driving carelessly
08:41:00,Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,2,Going straight,Pedestrian,Female,Driving under the influence of drugs
17:15:00,Tuesday,Unknown,Male,Elementary school,Employee,Above 10yr,Other,Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,1,Moving Backward,Pedestrian,Male,No distancing
19:45:00,Sunday,31-50,Male,Elementary school,Employee,Above 10yr,Motorcycle,Owner,Unknown,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Other,Driver or rider,Male,No distancing
19:45:00,Sunday,18-30,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,Unknown,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Other,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,na,na,No priority to vehicle
20:08:00,Friday,Unknown,Female,High school,Employee,2-5yr,Automobile,Owner,Unknown,,Residential areas,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,Reversing,Driver or rider,Male,Driving to the left
20:08:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,4,Going straight,na,na,No priority to vehicle
20:08:00,Friday,31-50,Male,Above high school,Employee,Above 10yr,Automobile,Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,Other,Driver or rider,Male,No priority to vehicle
20:08:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Governmental,Unknown,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,Other,na,na,No priority to vehicle
15:00:00,Saturday,Unknown,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Other,Driver or rider,Male,No distancing
12:18:00,Monday,Over 51,Male,High school,Employee,1-2yr,Public (> 45 seats),Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,Stopping,na,na,Moving Backward
10:24:00,Wednesday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Governmental,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Other,Driver or rider,Male,Changing lane to the right
10:24:00,Wednesday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Other,Pedestrian,Male,Driving carelessly
10:24:00,Wednesday,Unknown,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,Other,Driver or rider,Male,Changing lane to the left
18:38:00,Saturday,Unknown,Female,Elementary school,Employee,,Public (12 seats),Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,Going straight,Pedestrian,Male,No distancing
16:45:00,Thursday,Unknown,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Pedestrian,Male,Changing lane to the right
16:45:00,Thursday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,na,na,Driving under the influence of drugs
